Test,Traj1,Traj2,Traj3,Traj4,Traj5,Auto1,Auto2,Auto3,Auto4,Auto5,,平均,Traj,Auto
Test1,0.302329271,0.254698097,0.247218486,0.212080007,0.132902643,0.293813624,0.28460527,0.243422347,0.213615989,0.219252456,,Test1,0.229845701,0.250941937
Test2,0.350339924,0.232639446,0.279831566,0.251662619,0.206125385,0.278495531,0.33502747,0.209445565,0.201461208,0.257957813,,Test2,0.264119788,0.256477517
Test3,0.325070182,0.18973578,0.207852171,0.251976716,0.185635483,0.286879957,0.24963588,0.236313135,0.214336534,0.22480959,,Test3,0.232054067,0.242395019
Test4,0.316122423,0.233585481,0.292531555,0.268861546,0.261914308,0.209234559,0.206331493,0.168289124,0.2008684,0.251162874,,Test4,0.274603062,0.20717729
Test5,0.360889127,0.203284637,0.148666964,0.207727519,0.111135021,0.231930579,0.2448996,0.185783754,0.187910196,0.191305192,,Test5,0.206340654,0.208365864
Test6,0.226450709,0.248313231,0.213365604,0.23880228,0.143740185,0.221642861,0.23261936,0.233922502,0.207545595,0.165835256,,Test6,0.214134402,0.212313115
Test7,0.288375576,0.187137769,0.258670314,0.226294845,0.151553603,0.217990983,0.175589413,0.176739302,0.220542963,0.220365249,,Test7,0.222406422,0.202245582
Test8,0.208106568,0.196156999,0.192319495,0.341478574,0.195994036,0.243911793,0.22622318,0.161241119,0.19348679,0.182833557,,Test8,0.226811135,0.201539288
Test9,0.261877928,0.154012173,0.262196962,0.293448598,0.143373204,0.193240807,0.188313037,0.226942417,0.17510609,0.173471561,,Test9,0.222981773,0.191414782
Test10,0.323263048,0.153418595,0.219201296,0.215819896,0.157878651,0.205944831,0.157974979,0.246733306,0.197325967,0.156835036,,Test10,0.213916297,0.192962824
Test11,0.26361519,0.182429495,0.20837292,0.177157496,0.15519617,0.194600335,0.170275863,0.152614732,0.195247177,0.170140588,,Test11,0.197354254,0.176575739
Test12,0.24880597,0.23298066,0.255085482,0.180327786,0.162568329,0.238265542,0.167947254,0.25697529,0.222122063,0.205980935,,Test12,0.215953646,0.218258217
Test13,0.141621557,0.187523844,0.262259146,0.161449774,0.251385012,0.177586372,0.16657279,0.152943895,0.179246562,0.169533189,,Test13,0.200847867,0.169176562
Test14,0.158228325,0.153976106,0.209596167,0.224719234,0.207323939,0.159527687,0.159915978,0.247427847,0.158054727,0.177546218,,Test14,0.190768754,0.180494491
Test15,0.269109821,0.153068733,0.241414229,0.209053108,0.241574375,0.239799432,0.164619533,0.197498985,0.168493947,0.186559345,,Test15,0.222844053,0.191394248
Test16,0.281331651,0.150732179,0.21670563,0.15812447,0.159021696,0.194688264,0.190505722,0.158611846,0.227984141,0.197668579,,Test16,0.193183125,0.19389171
Test17,0.299408618,0.182405656,0.202533952,0.207738327,0.164385389,0.163857452,0.168165577,0.148305695,0.141467846,0.13705303,,Test17,0.211294388,0.15176992
Test18,0.193788,0.116817022,0.270612448,0.207235222,0.159421551,0.193619085,0.169550768,0.185070274,0.187992455,0.144911961,,Test18,0.189574849,0.176228908
Test19,0.203495005,0.158766577,0.183592806,0.168080733,0.175074597,0.213277891,0.200411737,0.177385205,0.181074932,0.168470902,,Test19,0.177801944,0.188124133
Test20,0.165814035,0.254328766,0.166461132,0.162781211,0.152191938,0.173122023,0.158731996,0.197635354,0.196420232,0.182635362,,Test20,0.180315416,0.181708993
